file,status,original_lines,kept_lines,dropped_placeholders,dropped_empty_tails,empty_lines_removed,whitespace_collapsed,numbers_rounded,dates_normalized,duplicates_removed,bad_date_segments
0578e13e-b93d-4c81-bb74-5f205d04aa12.txt,ok,75,49,1,0,14,38,22,55,11,42
0580ac1e-d64e-4852-9cb2-ac9f448ba1ae.txt,ok,27,9,1,0,14,4,0,4,3,6
058f2ea9-9d9c-4d0f-8cc1-992c1bba541d.txt,ok,85,52,1,0,14,48,27,63,18,54
05992f28-a785-414e-a3bb-4a0036155667.txt,ok,66,42,1,0,14,35,21,44,9,38
05b997ac-c04a-4c35-8eda-7ba18caf06ab.txt,ok,49,30,1,0,14,19,10,36,4,22
05d55476-5183-4011-8102-5547d29efcd2.txt,ok,41,22,1,0,14,15,6,24,4,19
05d643a9-1705-400f-ab79-6f386153a4a3.txt,ok,37,20,1,0,14,14,6,18,2,16
05d9ac02-58f2-42c5-ae91-01a990d16bad.txt,ok,76,52,1,0,14,41,22,52,9,45
05e56180-70a7-415f-8879-0d24ce1025e5.txt,ok,41,23,1,0,14,12,6,27,3,15
05ec2b0f-52eb-489e-b913-cbc1dd232a5f.txt,ok,80,39,1,0,14,45,21,61,26,50
05ed5110-3e8c-4785-95b4-8394e77359d8.txt,ok,135,79,1,0,14,88,41,101,41,95
05ff1532-0014-43bd-a02d-d5ed6dcc0818.txt,ok,74,44,1,0,14,39,21,56,15,45
060828d1-36a5-4da8-8e4b-4c0e4d1698d5.txt,ok,80,49,1,0,14,47,21,58,16,54
060eb9fc-bdca-4bd2-b2fd-60596c0c1310.txt,ok,101,63,1,0,14,68,20,85,23,77
06176998-e5c2-4452-b7d9-451be9235642.txt,ok,47,27,1,0,14,21,9,29,5,25
068368d7-aab6-40ea-9fd5-026444bcff6d.txt,ok,27,10,1,0,14,4,0,4,2,6
06888069-db1f-46d0-9964-d77816d59533.txt,ok,24,4,0,0,14,0,0,1,6,1
068c07ac-edf4-4475-a88b-0efb907b9824.txt,ok,177,104,1,0,14,126,40,162,58,144
069ca7bd-b5a2-4616-829a-957bf73e65c9.txt,ok,24,4,0,0,14,0,0,1,6,1
06b4d76c-baa7-4266-81fb-5583c03e2471.txt,ok,38,21,1,0,14,14,6,20,2,17
06cc5093-e145-4398-b4f6-6a9a6099b324.txt,ok,85,39,1,0,14,48,24,62,31,58
06d6fafb-3a63-455b-afa6-41f1b0ea9032.txt,ok,25,8,1,0,14,2,0,4,2,4
06f9ff7e-0301-425d-acfe-2848c65476ea.txt,ok,70,45,1,0,14,36,21,48,10,42
0707568c-e6a0-401f-b308-3ed9c48f2871.txt,ok,49,29,1,0,14,23,9,31,5,27
070789fb-078f-4005-a985-899c3d1a974f.txt,ok,103,55,1,0,14,63,23,69,33,71
0712e8b6-c026-4c74-b530-e11eb99efb8e.txt,ok,26,8,1,0,14,3,0,4,3,5
0714844c-8bed-4dc9-907b-ddc408d5b304.txt,ok,25,8,1,0,14,2,0,4,2,4
071c844d-609d-4ce7-904d-44cf1dc01233.txt,ok,44,20,1,0,14,17,9,27,9,21
07212354-fda3-434e-9184-d698e55f6b8d.txt,ok,79,54,1,0,14,43,21,53,10,47
0741294f-b5ae-42b0-9e55-5d8121615c37.txt,ok,179,97,1,0,14,136,35,159,67,155
0742660f-a12a-48ae-a1dd-2bd0a1f66d0e.txt,ok,58,33,1,0,14,28,18,37,10,34
074f9cc6-7b3c-4cc7-9bda-88eb56371cce.txt,ok,64,37,0,0,14,32,21,41,13,38
075ca67b-f44e-4d63-9cd3-0ce45cfc0218.txt,ok,103,68,1,0,14,70,20,84,20,79
0772888b-bf2c-4a49-87ba-ec66b5567fa5.txt,ok,196,131,1,0,14,146,35,174,50,165
07872c62-a0e3-4a2c-8159-27d2d3a3bb2d.txt,ok,51,28,1,0,14,23,15,32,8,26
079b1227-ba76-42ae-9548-0e86e9e531d9.txt,ok,99,45,1,0,14,59,18,69,39,64
079d95d5-d27f-4121-bd2e-aeae5cb74405.txt,ok,24,4,0,0,14,0,0,1,6,1
07a40c17-6187-4b15-9ca6-06ed67b256ee.txt,ok,76,44,1,0,14,41,21,56,17,49
07aa2df7-33ee-4e9c-b44c-0fcf794742ef.txt,ok,106,64,1,0,14,68,20,91,27,79
07b709d1-98ae-4b79-a682-df6aa253a1e9.txt,ok,77,29,0,0,14,42,8,44,34,48
07bb7709-89eb-4dba-b396-9ed605b962fe.txt,ok,54,32,1,0,14,26,12,38,7,30
07c0dee6-1acd-461b-b995-6f49c4589581.txt,ok,25,7,1,0,14,2,0,4,3,4
07d9de36-881f-4256-823a-b44a5a7759ec.txt,ok,131,90,1,0,14,87,20,115,26,99
07eb1a02-0bdd-43fb-b693-18ff4a07d865.txt,ok,24,4,0,0,14,0,0,1,6,1
081c46c3-9008-47a2-bdea-2855dbfe9eda.txt,ok,29,12,1,0,14,4,0,8,2,6
08220858-3048-4be5-949d-cdb1684bb1b0.txt,ok,61,37,1,0,14,30,21,43,9,33
082c0eae-2932-4730-8dbc-40333894055e.txt,ok,24,4,0,0,14,0,0,1,6,1
0832523a-fa34-4084-8ab8-32b83bbf4cbb.txt,ok,58,37,1,0,14,34,10,39,6,39
0846d96e-781d-45e0-9f63-9da61896f2b8.txt,ok,44,25,1,0,14,19,9,26,4,21
084a8d0a-a763-4558-bfe8-95a8c128b516.txt,ok,62,40,1,0,14,35,10,45,7,41
085d82a3-232f-4cd5-bb3f-f5f5572512ab.txt,ok,58,35,1,0,14,28,12,41,8,33
085ecf0f-f294-446f-9798-3cd7fe21f487.txt,ok,67,43,1,0,14,35,10,52,9,45
086bd6d1-a84c-4fa7-98ae-39b78d39113b.txt,ok,48,27,0,0,14,22,9,29,7,28
086df6dd-e474-4072-9b41-8ca2d502679b.txt,ok,59,34,0,0,14,31,18,34,11,35
086dfe60-e863-4e51-af8c-6db073b327ac.txt,ok,33,15,1,0,14,8,6,16,3,10
08733a35-39b6-4cd3-9271-c62b365f4bec.txt,ok,156,83,1,0,14,113,36,140,58,125
0887f4ad-2a7c-49b6-a59f-a6767e281828.txt,ok,106,51,1,0,14,69,27,69,40,73
088ba69d-8d8e-4d54-90ea-6740c424a687.txt,ok,24,4,0,0,14,0,0,1,6,1
08956677-1360-4261-867f-b6a93ef520ec.txt,ok,154,106,1,0,14,83,36,145,33,88
08a42cab-6edd-47bf-88e3-314ac77ab4a6.txt,ok,30,14,1,0,14,9,3,7,1,11
08b45948-bd04-47f7-abcd-95e1a2be508b.txt,ok,39,19,1,0,14,14,9,19,5,15
08bbe94f-bdfd-4b53-9559-3baf06d0531c.txt,ok,77,45,1,0,14,41,22,60,17,48
08d7e056-3475-4efe-967c-d88ad6be3e0c.txt,ok,180,94,1,0,14,136,35,160,71,154
08f046fc-eadb-4903-a908-ab802efc41c8.txt,ok,165,110,1,0,14,119,35,146,40,133
08f8636d-f563-4e2e-ae30-864841c7f76d.txt,ok,24,4,0,0,14,0,0,1,6,1
090e1058-02cd-47a2-814a-b77209530bb1.txt,ok,81,58,1,0,14,44,10,68,8,52
0912666e-6fd1-48ca-94c8-f2e292bb7dfb.txt,ok,115,63,1,0,14,72,27,82,37,80
0920ed84-3120-4ae0-81ca-b64fb39d0ec0.txt,ok,76,34,1,0,14,42,21,58,27,48
093d7b50-839a-4e53-86b1-07f0d4afc384.txt,ok,55,20,0,0,14,27,0,25,21,30
0944844f-8f23-4221-996d-6a6e9bb4e14f.txt,ok,24,4,0,0,14,0,0,1,6,1
0948a537-9afb-4424-947b-2450350d8e2a.txt,ok,52,35,1,0,14,13,6,47,2,20
094b49cc-162d-4857-9cec-6c8990782e55.txt,ok,143,72,1,0,14,105,35,126,56,118
09528244-3e1a-4653-ae5e-8094bf874aa3.txt,ok,24,4,0,0,14,0,0,1,6,1
096a7b25-edf7-46c4-909f-5c111dd7cb90.txt,ok,190,120,1,0,14,141,36,172,55,159
09884576-cbb4-46c8-96d3-c390f6293cf5.txt,ok,24,4,0,0,14,0,0,1,6,1
09a0b8cd-02b3-4ba3-882a-3352e099e94d.txt,ok,170,98,1,0,14,116,35,161,57,133
09b5c26c-feb8-4c0e-b1a4-d45cb0122098.txt,ok,84,54,1,0,14,52,15,66,15,63
09d7f224-5367-4e84-b39d-ac2b25c637d1.txt,ok,94,69,1,0,14,28,12,113,10,33
09d97baa-69f9-430f-87ec-d71b7e8a6112.txt,ok,25,8,1,0,14,2,0,4,2,4
0a2d25d1-72b5-44f4-bef2-13922874e3ef.txt,ok,42,24,1,0,14,17,12,24,3,19
0a44509d-c060-46cc-9b7f-1f3e98dcf43d.txt,ok,58,36,1,0,14,28,18,39,7,31
0a51018b-aacf-4877-9f8f-0403d15d810c.txt,ok,91,53,1,0,14,49,25,65,23,58
0a5f2ec1-435f-427a-9aac-836172181d32.txt,ok,53,32,1,0,14,25,9,35,6,30
0a698bb6-8e56-4c22-827b-065525326571.txt,ok,75,46,1,0,14,39,21,53,14,44
0a8f835e-b9a9-4e1d-8ef0-c025457a0a88.txt,ok,46,25,1,0,14,19,9,28,6,24
0a988978-8e1d-4257-92b7-54cb5018af33.txt,ok,147,83,1,0,14,108,35,132,49,119
0aa6b08b-c2c1-4c26-90a6-b38b5d7ff091.txt,ok,80,50,1,0,14,46,27,54,15,51
0abebbcf-aac5-4d51-8636-042bb916306f.txt,ok,107,68,1,0,14,69,20,89,24,80
0ae19597-a622-4c93-b459-e2913e10e8c0.txt,ok,147,88,1,0,14,108,35,131,44,120
0aef1407-596c-4e18-97a1-9c18e015d79d.txt,ok,61,38,1,0,14,28,18,47,8,32
0b1e0d53-4193-4816-9382-704c7392fa00.txt,ok,49,29,1,0,14,21,9,31,5,25
0b25e64a-6b5e-472e-8cf2-eb79c88f66b8.txt,ok,64,42,1,0,14,23,9,56,7,32
0b30a031-05bf-445c-b350-7a9c7107c75b.txt,ok,121,74,1,0,14,86,26,101,32,96
0b49762e-1f06-4092-b818-d4cba38c485e.txt,ok,46,26,1,0,14,19,9,29,5,23
0b49ab19-2f8b-444b-bd30-577afb1a77b3.txt,ok,65,42,1,0,14,32,21,48,8,36
0b5f73bc-187a-4ab9-91f3-cb522dc5d696.txt,ok,69,32,1,0,14,35,18,52,22,42
0b6ba7d4-8a05-45a2-99b6-3a0de1c3bb6e.txt,ok,24,4,0,0,14,0,0,1,6,1
0b885cb0-4cae-4bde-8ef9-69f262c976fa.txt,ok,24,4,0,0,14,0,0,1,6,1
0b8af133-ac00-4976-ba9f-797fb276a8b2.txt,ok,100,74,1,0,14,61,28,90,11,68
0b90c60b-c431-4f14-b9a3-861d55a3cc38.txt,ok,157,96,1,0,14,118,36,134,46,130
0b9422f2-c33e-465d-b011-0e732023009e.txt,ok,79,54,1,0,14,39,10,73,10,47
0bb821cb-3c3f-4904-89a7-c76fd909a451.txt,ok,89,58,1,0,14,48,22,74,16,54
0bbf7d71-672a-4eb9-a322-8c5d74d58a3d.txt,ok,57,33,1,0,14,23,9,39,9,34
0bdc3eb5-52f0-4152-aaee-93a54a7be7c5.txt,ok,140,87,1,0,14,86,25,132,38,101
